,clf_acc,roi_name,zs_type,zs_type_2,leave_out_runs,detrend,zs_proportion,trial_feature_trs,subj,session
0,0.5,m1s1,baseline,none,1,realtime,1,"[4, 6]",ff005,2
0,0.65,m1s1,baseline,none,1,realtime,1,"[4, 6]",ff005,2
0,0.8,m1s1,baseline,none,1,realtime,1,"[4, 6]",ff005,2
0,0.85,m1s1,baseline,none,1,realtime,1,"[4, 6]",ff005,2
0,0.9,m1s1,baseline,none,1,realtime,1,"[4, 6]",ff005,2
0,0.8,m1s1,baseline,none,1,realtime,1,"[4, 6]",ff005,2
0,0.85,m1s1,baseline,none,1,realtime,1,"[4, 6]",ff005,2
0,0.8,m1s1,baseline,none,1,realtime,1,"[4, 6]",ff005,2
